Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
59,Master's,6,Finance,Accountant,Medium,Entry,84,21,94,Medium,5,7,40,26,High
44,Master's,14,Manufacturing,Production Supervisor,Small,Entry,30,84,68,Low,2,2,14,9,Low
36,Bachelor's,7,Retail,Store Manager,Medium,Senior,12,86,71,Low,0,1,6,3,Low
27,Bachelor's,6,Finance,Auditor,Large,Entry,90,18,21,Medium,3,10,67,26,High
49,High School,12,Finance,Auditor,Small,Entry,49,52,72,Medium,5,13,26,19,Medium
45,PhD,9,Telecom,Network Engineer,Large,Entry,72,33,54,Medium,4,5,69,9,High
48,Bachelor's,10,IT,Software Engineer,Small,Entry,46,63,63,Medium,2,7,45,9,Medium
23,Master's,2,Retail,Store Manager,Medium,Mid,36,37,77,Low,2,0,27,3,Medium
24,Bachelor's,3,IT,ML Engineer,Large,Entry,41,62,90,Low,1,1,20,8,Low
48,Master's,6,Retail,Inventory Analyst,Small,Senior,84,8,81,Medium,2,5,67,29,Medium
33,Bachelor's,0,Telecom,Network Engineer,Small,Entry,88,15,78,Medium,2,8,42,21,High
32,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,65,36,21,Medium,5,10,39,27,High
53,Bachelor's,16,Manufacturing,Production Supervisor,Medium,Mid,77,33,74,Medium,4,10,54,28,High
54,Bachelor's,12,Healthcare,Health Analyst,Medium,Entry,82,8,22,Medium,5,8,68,23,High
39,Master's,5,Telecom,Support Specialist,Medium,Mid,10,87,30,Low,2,5,5,9,Low
36,Master's,7,Manufacturing,Production Supervisor,Medium,Mid,11,99,28,Low,0,2,9,2,Low
23,Master's,2,Retail,Sales Associate,Large,Senior,45,65,57,Medium,5,13,44,7,Medium
38,High School,17,Finance,Accountant,Medium,Mid,89,10,67,Medium,5,12,81,12,High
37,Bachelor's,11,Telecom,Network Engineer,Medium,Entry,39,42,57,Low,2,2,25,1,Medium
53,Bachelor's,11,Education,Academic Coordinator,Medium,Entry,70,57,83,Medium,2,5,67,16,Medium
49,Master's,12,Manufacturing,Production Supervisor,Large,Entry,55,41,72,Medium,5,9,32,27,Medium
23,High School,2,Logistics,Dispatcher,Medium,Senior,67,39,42,Low,1,2,62,9,High
37,Bachelor's,11,Finance,Financial Analyst,Medium,Entry,33,84,32,Low,1,5,20,2,Medium
48,Bachelor's,11,Finance,Auditor,Medium,Mid,60,63,41,Low,1,1,35,5,Medium
26,Bachelor's,5,Manufacturing,Operator,Large,Entry,14,67,87,Low,1,2,7,6,Low
36,PhD,11,Education,Research Assistant,Medium,Entry,26,60,77,Low,2,1,14,4,Low
43,High School,17,Retail,Inventory Analyst,Large,Entry,57,36,20,Medium,4,7,43,16,High
57,High School,14,Finance,Accountant,Medium,Entry,56,41,67,Medium,2,11,30,8,High
50,Master's,6,Retail,Sales Associate,Large,Entry,19,82,38,Low,0,4,14,3,Low
36,Bachelor's,9,Finance,Accountant,Small,Mid,93,0,52,High,5,27,83,70,High
32,Master's,11,Finance,Financial Analyst,Small,Entry,55,43,21,Medium,4,5,36,12,High
30,High School,6,Manufacturing,Quality Engineer,Large,Entry,77,12,94,High,9,22,52,55,High
56,Master's,11,Education,Teacher,Large,Entry,91,1,96,High,9,26,74,68,High
43,Master's,7,Education,Academic Coordinator,Small,Senior,71,4,32,Medium,4,7,34,21,Low
39,PhD,7,Retail,Inventory Analyst,Large,Mid,25,68,88,Low,2,4,24,3,Low
36,Master's,2,Manufacturing,Operator,Small,Mid,48,55,94,Medium,3,13,43,14,Medium
37,Master's,6,Finance,Auditor,Medium,Entry,46,56,57,Medium,4,11,35,29,Medium
56,Bachelor's,6,Healthcare,Health Analyst,Small,Mid,63,26,38,Medium,4,7,28,17,Medium
48,Master's,16,Retail,Store Manager,Large,Mid,12,92,77,Low,0,0,8,7,Low
26,Master's,1,Logistics,Warehouse Manager,Large,Mid,56,44,94,Medium,5,9,42,8,Medium
40,PhD,5,Manufacturing,Operator,Medium,Entry,66,24,94,Medium,5,9,35,12,Medium
56,Bachelor's,13,Retail,Inventory Analyst,Medium,Mid,50,46,82,Low,0,0,33,0,Medium
33,Master's,4,Education,Teacher,Large,Senior,78,26,89,Medium,3,9,52,27,Low
21,Bachelor's,0,Retail,Store Manager,Large,Entry,35,68,91,Low,0,4,24,0,Medium
55,Bachelor's,10,Education,Academic Coordinator,Medium,Senior,32,63,72,Low,1,0,19,2,Low
24,Bachelor's,1,Manufacturing,Production Supervisor,Medium,Mid,81,18,73,Medium,3,7,74,22,High
25,Bachelor's,4,Retail,Inventory Analyst,Large,Mid,84,41,70,Medium,3,10,65,22,High
50,Bachelor's,13,Education,Teacher,Small,Mid,47,61,94,Low,2,1,39,2,Low
49,Bachelor's,0,Logistics,Warehouse Manager,Large,Mid,86,13,62,Medium,2,11,66,27,High
31,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,65,44,46,Medium,2,6,30,23,High
25,High School,2,Manufacturing,Production Supervisor,Medium,Mid,21,65,65,Low,0,2,10,8,Medium
42,High School,0,Retail,Inventory Analyst,Large,Senior,70,31,71,Medium,4,12,40,26,High
48,Master's,5,Manufacturing,Operator,Small,Entry,16,62,22,Low,2,3,11,1,Medium
55,Bachelor's,13,Telecom,Operations Analyst,Small,Mid,37,56,63,Low,0,0,26,3,Low
30,High School,8,Telecom,Support Specialist,Medium,Mid,17,97,59,Low,0,4,16,5,Low
54,Bachelor's,8,Retail,Store Manager,Medium,Entry,42,55,94,Low,2,5,39,7,Medium
23,PhD,0,Logistics,Supply Chain Analyst,Small,Entry,84,22,23,High,10,23,63,21,High
28,Bachelor's,7,IT,Software Engineer,Large,Entry,35,57,39,Low,0,3,27,0,Medium
58,Bachelor's,3,Healthcare,Health Analyst,Medium,Entry,59,43,29,Medium,3,12,29,6,Medium
57,High School,18,Healthcare,Health Analyst,Small,Mid,47,35,68,Low,0,5,24,1,Low
31,Bachelor's,9,Telecom,Operations Analyst,Large,Entry,23,75,79,Low,0,2,21,9,Low
45,Master's,7,Finance,Financial Analyst,Medium,Mid,48,57,57,Low,0,0,30,8,Medium
22,Bachelor's,1,Telecom,Operations Analyst,Small,Senior,16,84,70,Low,2,4,11,0,Low
59,Bachelor's,6,Logistics,Dispatcher,Large,Mid,36,79,93,Low,0,5,26,5,Low
56,Bachelor's,20,Manufacturing,Operator,Medium,Mid,77,13,64,Medium,4,8,64,8,High
47,Bachelor's,15,IT,ML Engineer,Small,Senior,47,48,65,Low,2,3,36,9,Low
38,Master's,7,Finance,Auditor,Large,Mid,77,23,24,Medium,3,5,52,13,High
49,High School,11,Manufacturing,Operator,Large,Senior,10,100,40,Low,2,0,6,4,Low
46,Bachelor's,3,Education,Teacher,Large,Entry,91,0,91,Medium,4,7,49,26,High
27,High School,6,Manufacturing,Quality Engineer,Small,Entry,38,80,47,Low,1,4,20,0,Medium
40,Master's,19,Healthcare,Medical Assistant,Medium,Entry,80,3,20,Medium,4,12,51,23,High
50,Bachelor's,0,IT,ML Engineer,Small,Mid,49,34,66,Medium,3,6,33,26,Medium
50,Bachelor's,3,Manufacturing,Operator,Large,Senior,41,61,29,Low,0,3,38,1,Medium
28,High School,2,Healthcare,Health Analyst,Small,Entry,68,57,86,Medium,4,5,57,19,High
55,Master's,13,Finance,Auditor,Large,Entry,46,44,73,Low,1,1,39,6,Medium
41,High School,4,Manufacturing,Operator,Small,Mid,69,36,88,Medium,5,14,44,6,High
32,Master's,6,Retail,Store Manager,Medium,Senior,33,77,81,Low,1,0,15,1,Low
34,Master's,13,Education,Teacher,Medium,Entry,82,19,68,Medium,3,14,68,17,High
57,Bachelor's,9,IT,ML Engineer,Medium,Mid,85,5,46,High,5,19,65,26,High
37,Bachelor's,16,Education,Academic Coordinator,Medium,Mid,73,30,84,Medium,4,9,63,8,Medium
49,Bachelor's,1,IT,Software Engineer,Medium,Entry,63,29,74,Medium,2,12,37,5,High
40,High School,9,Education,Academic Coordinator,Large,Mid,82,14,92,Medium,5,5,59,5,High
60,Master's,1,Retail,Store Manager,Large,Mid,21,74,83,Low,0,4,20,0,Low
32,Bachelor's,6,Retail,Inventory Analyst,Large,Mid,30,78,89,Low,0,1,24,8,Low
46,High School,9,Finance,Accountant,Medium,Senior,35,61,26,Low,1,2,31,6,Low
51,Master's,7,Logistics,Supply Chain Analyst,Large,Entry,26,61,79,Low,0,1,21,2,Low
60,Bachelor's,0,Healthcare,Nurse,Large,Mid,34,53,77,Low,1,3,15,1,Low
54,High School,10,Logistics,Dispatcher,Large,Mid,41,84,29,Low,1,0,30,6,Medium
21,Bachelor's,0,Healthcare,Medical Assistant,Small,Entry,71,26,56,Medium,2,13,36,28,High
57,Master's,10,Telecom,Network Engineer,Small,Entry,65,37,81,Medium,2,6,55,29,Medium
24,Bachelor's,3,Retail,Inventory Analyst,Small,Entry,50,66,22,Medium,3,11,36,21,High
40,PhD,11,Manufacturing,Quality Engineer,Small,Entry,59,42,22,Medium,5,7,46,10,High
45,High School,16,Education,Academic Coordinator,Large,Entry,38,79,28,Low,0,4,25,1,Low
35,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,27,67,59,Low,0,5,24,2,Medium
60,Bachelor's,12,Retail,Store Manager,Large,Mid,49,69,92,Medium,2,9,24,14,Medium
47,Master's,11,Finance,Financial Analyst,Small,Senior,67,43,61,Medium,3,9,36,11,Low
56,Bachelor's,16,IT,ML Engineer,Small,Entry,36,67,36,Low,0,2,21,5,Low
27,Bachelor's,4,Retail,Inventory Analyst,Large,Entry,69,36,41,Medium,5,8,33,8,High
47,Master's,11,Retail,Store Manager,Medium,Entry,91,2,78,Medium,2,11,82,15,High
35,Master's,10,Finance,Auditor,Small,Entry,55,51,32,Medium,2,11,48,19,High
49,Master's,13,IT,Software Engineer,Small,Entry,76,19,75,Medium,5,9,50,24,High
25,PhD,4,Finance,Accountant,Medium,Senior,24,68,44,Low,1,3,12,7,Low
45,Master's,10,Education,Teacher,Large,Mid,12,92,93,Low,1,0,6,6,Low
40,Bachelor's,12,Retail,Sales Associate,Small,Mid,72,14,21,Medium,5,12,71,15,High
37,Bachelor's,6,Logistics,Supply Chain Analyst,Small,Mid,42,33,60,Low,0,0,32,8,Medium
35,Bachelor's,6,Healthcare,Health Analyst,Medium,Mid,83,17,49,Medium,2,8,52,26,High
58,Master's,17,Logistics,Supply Chain Analyst,Small,Entry,58,48,94,Medium,4,13,55,22,Medium
28,Master's,7,Logistics,Warehouse Manager,Large,Entry,16,90,25,Low,1,5,11,9,Low
34,Master's,5,Retail,Store Manager,Small,Senior,54,41,72,Low,2,3,24,1,Low
39,Bachelor's,14,Finance,Auditor,Large,Senior,12,86,80,Low,0,5,10,0,Low
50,Master's,8,Telecom,Support Specialist,Medium,Mid,29,76,79,Low,0,1,26,3,Low
54,Master's,19,Telecom,Support Specialist,Medium,Senior,67,47,34,Medium,2,7,45,12,Low
50,PhD,6,Logistics,Dispatcher,Small,Senior,50,43,81,Low,1,0,38,3,Low
