city,country,date.utc,location,parameter,value
Paris,FR,2019-06-21 00:00:00+00:00,FR04014,no2,20
Paris,FR,2019-06-20 23:00:00+00:00,FR04014,no2,21.8
Paris,FR,2019-06-20 22:00:00+00:00,FR04014,no2,26.5
Paris,FR,2019-06-20 21:00:00+00:00,FR04014,no2,24.9
Paris,FR,2019-06-20 20:00:00+00:00,FR04014,no2,21.4
Paris,FR,2019-06-20 19:00:00+00:00,FR04014,no2,25.3
Paris,FR,2019-06-20 18:00:00+00:00,FR04014,no2,23.9
Paris,FR,2019-06-20 17:00:00+00:00,FR04014,no2,23.2
Paris,FR,2019-06-20 16:00:00+00:00,FR04014,no2,19
Paris,FR,2019-06-20 15:00:00+00:00,FR04014,no2,19.3
Paris,FR,2019-06-20 14:00:00+00:00,FR04014,no2,20.1
Paris,FR,2019-06-20 13:00:00+00:00,FR04014,no2,19.4
Paris,FR,2019-06-19 10:00:00+00:00,FR04014,no2,26.6
Paris,FR,2019-06-19 09:00:00+00:00,FR04014,no2,27.3
Paris,FR,2019-06-18 22:00:00+00:00,FR04014,no2,39.3
Paris,FR,2019-06-18 21:00:00+00:00,FR04014,no2,23.1
Paris,FR,2019-06-18 20:00:00+00:00,FR04014,no2,17
Paris,FR,2019-06-18 19:00:00+00:00,FR04014,no2,15.3
Paris,FR,2019-06-18 08:00:00+00:00,FR04014,no2,49.6
Paris,FR,2019-06-18 07:00:00+00:00,FR04014,no2,52.6
Paris,FR,2019-06-18 06:00:00+00:00,FR04014,no2,51.4
Paris,FR,2019-06-18 05:00:00+00:00,FR04014,no2,33.8
Paris,FR,2019-06-18 04:00:00+00:00,FR04014,no2,26.5
Paris,FR,2019-06-18 03:00:00+00:00,FR04014,no2,45.5
Paris,FR,2019-06-18 02:00:00+00:00,FR04014,no2,39.8
Paris,FR,2019-06-18 01:00:00+00:00,FR04014,no2,60.1
Paris,FR,2019-06-18 00:00:00+00:00,FR04014,no2,66.2
Paris,FR,2019-06-17 23:00:00+00:00,FR04014,no2,73.3
Paris,FR,2019-06-17 22:00:00+00:00,FR04014,no2,51
Paris,FR,2019-06-17 21:00:00+00:00,FR04014,no2,38.3
Paris,FR,2019-06-17 20:00:00+00:00,FR04014,no2,20.5
Paris,FR,2019-06-17 19:00:00+00:00,FR04014,no2,15.2
Paris,FR,2019-06-17 18:00:00+00:00,FR04014,no2,15.4
Paris,FR,2019-06-17 17:00:00+00:00,FR04014,no2,14.9
Paris,FR,2019-06-17 16:00:00+00:00,FR04014,no2,11.9
Paris,FR,2019-06-17 15:00:00+00:00,FR04014,no2,13.1
Paris,FR,2019-06-17 14:00:00+00:00,FR04014,no2,11.5
Paris,FR,2019-06-17 13:00:00+00:00,FR04014,no2,9.6
Paris,FR,2019-06-17 12:00:00+00:00,FR04014,no2,10.1
Paris,FR,2019-06-17 11:00:00+00:00,FR04014,no2,15.2
Paris,FR,2019-06-17 10:00:00+00:00,FR04014,no2,16
Paris,FR,2019-06-17 09:00:00+00:00,FR04014,no2,30.4
Paris,FR,2019-06-17 08:00:00+00:00,FR04014,no2,51.6
Paris,FR,2019-06-17 07:00:00+00:00,FR04014,no2,54.4
Paris,FR,2019-06-17 06:00:00+00:00,FR04014,no2,52.3
Paris,FR,2019-06-17 05:00:00+00:00,FR04014,no2,44.8
Paris,FR,2019-06-17 04:00:00+00:00,FR04014,no2,45.7
Paris,FR,2019-06-17 03:00:00+00:00,FR04014,no2,49.1
Paris,FR,2019-06-17 02:00:00+00:00,FR04014,no2,53.1
Paris,FR,2019-06-17 01:00:00+00:00,FR04014,no2,58.8
Paris,FR,2019-06-17 00:00:00+00:00,FR04014,no2,69.3
Paris,FR,2019-06-16 23:00:00+00:00,FR04014,no2,67.3
Paris,FR,2019-06-16 22:00:00+00:00,FR04014,no2,56.6
Paris,FR,2019-06-16 21:00:00+00:00,FR04014,no2,42.7
Paris,FR,2019-06-16 20:00:00+00:00,FR04014,no2,23.3
Paris,FR,2019-06-16 19:00:00+00:00,FR04014,no2,14.4
Paris,FR,2019-06-16 18:00:00+00:00,FR04014,no2,12.3
Paris,FR,2019-06-16 17:00:00+00:00,FR04014,no2,11.8
Paris,FR,2019-06-16 16:00:00+00:00,FR04014,no2,9.2
Paris,FR,2019-06-16 15:00:00+00:00,FR04014,no2,8.4
Paris,FR,2019-06-16 14:00:00+00:00,FR04014,no2,8.1
Paris,FR,2019-06-16 13:00:00+00:00,FR04014,no2,8.7
Paris,FR,2019-06-16 12:00:00+00:00,FR04014,no2,11.2
Paris,FR,2019-06-16 11:00:00+00:00,FR04014,no2,12.9
Paris,FR,2019-06-16 10:00:00+00:00,FR04014,no2,8.7
Paris,FR,2019-06-16 09:00:00+00:00,FR04014,no2,9.4
Paris,FR,2019-06-16 08:00:00+00:00,FR04014,no2,9.9
Paris,FR,2019-06-16 07:00:00+00:00,FR04014,no2,10.2
Paris,FR,2019-06-16 06:00:00+00:00,FR04014,no2,11.6
Paris,FR,2019-06-16 05:00:00+00:00,FR04014,no2,14
Paris,FR,2019-06-16 04:00:00+00:00,FR04014,no2,11.7
Paris,FR,2019-06-16 03:00:00+00:00,FR04014,no2,11.2
Paris,FR,2019-06-16 02:00:00+00:00,FR04014,no2,11.4
Paris,FR,2019-06-16 01:00:00+00:00,FR04014,no2,12.8
Paris,FR,2019-06-16 00:00:00+00:00,FR04014,no2,16.5
Paris,FR,2019-06-15 23:00:00+00:00,FR04014,no2,22.6
Paris,FR,2019-06-15 22:00:00+00:00,FR04014,no2,20.1
Paris,FR,2019-06-15 21:00:00+00:00,FR04014,no2,17.2
Paris,FR,2019-06-15 20:00:00+00:00,FR04014,no2,15.2
Paris,FR,2019-06-15 19:00:00+00:00,FR04014,no2,14.2
Paris,FR,2019-06-15 18:00:00+00:00,FR04014,no2,14
Paris,FR,2019-06-15 17:00:00+00:00,FR04014,no2,11.1
Paris,FR,2019-06-15 16:00:00+00:00,FR04014,no2,10.7
Paris,FR,2019-06-15 15:00:00+00:00,FR04014,no2,10.5
Paris,FR,2019-06-15 14:00:00+00:00,FR04014,no2,9.6
Paris,FR,2019-06-15 13:00:00+00:00,FR04014,no2,9
Paris,FR,2019-06-15 12:00:00+00:00,FR04014,no2,9.4
Paris,FR,2019-06-15 11:00:00+00:00,FR04014,no2,11.1
Paris,FR,2019-06-15 10:00:00+00:00,FR04014,no2,12.1
Paris,FR,2019-06-15 09:00:00+00:00,FR04014,no2,14
Paris,FR,2019-06-15 08:00:00+00:00,FR04014,no2,17.6
Paris,FR,2019-06-15 07:00:00+00:00,FR04014,no2,24.1
Paris,FR,2019-06-15 06:00:00+00:00,FR04014,no2,35.8
