Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
school,6.868702389972969,1.71172189529783,3.1769423194871376,,8.0,7.0,2.0,1
school,8.519088215896476,3.251083781151879,3.88078684431769,93.97846477553529,6.0,4.0,3.0,1
college,4.498770167644885,6.306885352994022,2.9361716604978856,64.42125337473281,7.0,1.0,12.0,1
school,8.59122266146032,2.3849218382541193,5.222831682202401,81.86896045538819,2.0,7.0,7.0,0
college,5.329292606357664,9.345178927014196,7.815869005976595,85.84798211115798,5.0,6.0,10.0,1
college,4.914848830640115,,2.1411368768283476,85.14409468464662,3.0,5.0,5.0,0
college,6.621709041712376,5.261762384982284,4.879102366454937,,4.0,7.0,7.0,0
college,6.357064560727025,2.8279549581089953,6.198479438647982,74.18034148030989,7.0,8.0,6.0,0
college,8.085219108735325,5.0437307890881655,4.660604459709954,89.56436691432158,3.0,2.0,7.0,0
college,4.627502422361877,4.743084483455995,5.579822328095165,95.79431515224846,5.0,5.0,10.0,0
working_student,4.007619870239411,9.734760238681691,5.677249286034405,78.66349135778823,3.0,9.0,7.0,0
school,5.5735357083768555,3.4985815657455857,5.777487460615724,85.47722152771642,,5.0,3.0,1
college,9.934737321770323,5.784036986905756,5.167116090629148,85.0243778222926,8.0,8.0,3.0,1
college,7.540098802367339,6.814306854133314,0.1928212753409584,77.97435952759467,7.0,6.0,1.0,1
college,6.813604727522755,7.420428153722861,4.221301059667948,83.42805510984012,9.0,5.0,11.0,1
college,6.341331505547025,1.038578111695773,6.496086670779803,82.28843293943567,2.0,2.0,3.0,0
college,6.3963669817443245,7.188367074779284,2.6032808058073234,86.70927029794079,1.0,,1.0,0
working_student,4.540825628661523,8.848871770968472,1.3105013992862604,69.15808822525972,5.0,6.0,6.0,1
school,9.473756404888007,3.235463333019583,3.0490006082980874,,5.0,3.0,6.0,0
working_student,6.761346773281069,9.09270885722323,4.086536531713566,68.22907089766069,6.0,7.0,8.0,0
school,8.9261457844866,2.667914291713002,4.332591241616601,81.98084665205128,8.0,3.0,4.0,0
,4.646379493277875,8.30350242707097,3.0194203446338856,98.49393837740489,1.0,4.0,5.0,0
school,8.408162724481462,4.238800588260328,1.4935892170600504,70.04775533903141,8.0,6.0,5.0,0
college,3.6825294567703404,2.171596179993906,4.611159668602605,73.90222384621555,6.0,7.0,2.0,0
college,3.8110629426781326,5.988891444954296,3.7483975993853154,75.12628555197433,4.0,6.0,2.0,0
school,7.321082933003718,1.07429346737757,,69.92073363348362,5.0,5.0,10.0,0
college,5.716894890305974,5.475361965081284,3.090666015782537,76.42203092543087,3.0,8.0,12.0,0
college,4.471109175615404,10.282165850310452,5.409925036524243,74.14068992280022,6.0,5.0,5.0,1
school,7.714944483884266,3.4529217172350597,0.4714318054187283,76.02021301530925,3.0,8.0,4.0,0
college,8.58692339119707,3.911498461361316,4.0250253434171075,95.3994386436698,7.0,5.0,9.0,0
working_student,6.2963628677599095,,5.100235282521833,90.84185367030206,2.0,8.0,9.0,0
school,8.360889537829557,3.9246624848737475,6.412007925999834,80.59893381584921,6.0,8.0,2.0,0
school,8.742968332715298,2.9796784306689656,1.7936700551493414,95.89567095335414,9.0,6.0,11.0,0
college,5.812594348773563,5.1036940655362155,4.09014148853852,75.68118255138917,3.0,,6.0,1
school,5.865464409673147,2.8958205958447465,2.3733576908279845,67.3399421945948,7.0,7.0,12.0,1
college,4.273267070059318,6.062856706210521,,95.0188716748374,1.0,10.0,10.0,0
school,6.729379400995861,3.3211993673150317,,70.5401216374453,3.0,3.0,2.0,0
college,5.299253864091883,,0.12719592018403036,64.70203035395558,6.0,7.0,6.0,1
school,8.982295253238592,2.73955270996706,,78.0111512621255,5.0,3.0,10.0,0
working_student,7.7397571067879225,,4.578908312831338,72.93096414031396,2.0,4.0,1.0,0
,4.907335422238607,6.067430892557745,,83.26093890077931,5.0,4.0,7.0,0
college,5.630410593916289,,8.942404345241163,83.97348796082059,5.0,3.0,11.0,0
working_student,3.39475009900158,5.23626092042379,3.9631072479562124,95.52670108661249,3.0,1.0,9.0,0
working_student,7.0751535001381685,5.086542821505878,4.825578073066106,83.64975515138727,5.0,5.0,6.0,0
college,8.918998165525252,5.7459414165137455,3.5108060688715144,89.4449109799672,6.0,7.0,1.0,0
college,5.2843869031912964,5.228131619718729,4.345107855038943,81.717450509825,8.0,3.0,6.0,1
school,7.763728770005108,0.9342924469558326,3.444047427543527,95.54517918010808,6.0,9.0,6.0,0
school,7.241748217103223,2.3954838387694375,2.835607270393184,,2.0,7.0,4.0,0
school,7.843468091155645,3.6180625310961663,2.2387226409574206,77.01071599668214,3.0,7.0,3.0,0
school,6.477424137603091,3.1909564220042106,1.6933519335582339,77.42790747943792,7.0,6.0,2.0,1
school,7.077199827434079,2.670941030219698,3.8311427275219714,70.94230495138123,4.0,6.0,4.0,0
college,8.261997918119334,4.601198532302109,2.6537274695799624,83.54260652952325,4.0,1.0,6.0,0
school,6.75715735172514,3.4514888029570603,3.4697829702073615,85.73773091962666,5.0,5.0,5.0,0
working_student,7.069815167232082,7.383754255945416,0.9313440295332747,99.91197499598249,4.0,6.0,7.0,0
college,6.659227782267342,2.2116432037407208,6.318186982378672,85.75489653278812,4.0,9.0,8.0,0
college,6.805782535538312,3.234973983180104,3.795826837646976,97.73176836971791,3.0,5.0,9.0,0
college,7.601346590195945,,4.949494189232855,84.00470402532763,5.0,5.0,11.0,0
working_student,6.758806827533926,6.099771189440037,1.9200560019185025,99.17175768352165,3.0,7.0,11.0,0
college,7.350924072777139,0.5469224655782561,5.10803132547173,91.15192224599528,6.0,3.0,6.0,0
college,6.823924008505577,3.4309232618483962,5.010045105718464,82.29123718012954,4.0,5.0,10.0,0
college,8.787241360762298,,6.26573895846046,68.0684116385251,9.0,7.0,8.0,0
college,7.029890726636923,3.8215166195432753,4.8071726202930165,90.56186725852224,2.0,2.0,12.0,0
college,8.33108213174651,3.535814392948134,2.356416803655008,85.22497058280652,,4.0,8.0,1
working_student,3.6127404231388125,6.686402284222593,4.694972490689108,76.63283433698163,2.0,9.0,12.0,0
college,5.251724870836462,5.012890781368468,4.5703717533451655,91.11807766637662,4.0,6.0,6.0,0
college,5.251791890945058,0.1841380383832999,5.001893361175749,74.42653776760946,7.0,4.0,2.0,1
college,6.505488376268909,8.08836775829687,6.301412750075015,86.39042692124097,7.0,5.0,8.0,1
college,7.812780840935815,2.2262845420494433,0.10570771327486073,71.87070757548102,9.0,4.0,1.0,1
college,4.7180688213556925,3.982004531809492,5.125737202855668,59.461157777829065,5.0,10.0,2.0,0
school,9.269452202496337,2.5691488873247406,7.742260390021837,76.82960395613895,7.0,6.0,7.0,0
working_student,,2.146266500165302,2.659328243446377,88.89669983480746,2.0,5.0,12.0,0
college,5.350593121297056,0.7376277279894156,3.9288812448589314,79.70043538691164,4.0,3.0,1.0,0
working_student,6.864180560100374,,0.5533872776743163,,6.0,5.0,3.0,0
working_student,6.749753195159183,9.880133694184362,1.7289413315728304,93.67595101999181,6.0,5.0,4.0,0
working_student,5.620542099587615,6.611878649141275,3.0623919356878093,68.25887830535972,5.0,2.0,10.0,0
school,5.415030905517298,6.131987980835733,1.9569527135166578,61.053576883009846,7.0,9.0,2.0,1
school,7.931829654438181,,0.8729193775599817,81.29244516304894,7.0,6.0,10.0,0
college,8.241820529554166,2.4008096902847846,5.759764815106532,74.96176488851329,8.0,8.0,2.0,1
working_student,7.722817068463717,6.325642607172957,1.9812825971078534,84.9360595466456,6.0,4.0,10.0,0
college,8.98554146952971,8.19747505564389,1.514302661650294,73.58496212418345,8.0,,12.0,1
college,6.826720143438318,6.465850932074606,4.170373748785668,99.64047896606021,6.0,8.0,10.0,0
college,6.844647689590549,,3.5332067466418637,,4.0,7.0,1.0,0
,9.15096779302075,1.2424828421486709,1.6537460370467727,88.10298421503994,6.0,7.0,8.0,0
college,9.867791312812374,2.4644000133548176,5.307604891901218,73.51346265162549,4.0,,1.0,0
,7.107426710412089,4.141573910236118,1.5758814293416872,95.18846360822486,5.0,7.0,,0
college,3.759542424625006,7.158781883485752,3.70544639310781,84.42515180021663,6.0,7.0,7.0,0
college,8.151948632552795,6.334222337267834,6.452837827690118,72.25876093534133,7.0,5.0,6.0,1
,3.9912465936013413,6.564630746866817,0.9472140088105574,86.96910987054876,1.0,9.0,6.0,0
college,6.646831144325613,3.6523096652375777,5.820480389812873,88.68083626143279,9.0,5.0,2.0,1
college,5.0387829233637556,2.4431201557500253,2.9503397943127663,76.66648146362503,,5.0,5.0,0
college,8.051305278089014,1.9263089664040107,5.642104868652886,64.16396051451466,3.0,4.0,7.0,0
working_student,6.640615054548915,6.357867835409808,,99.04736808930977,5.0,5.0,11.0,0
school,8.178719469062893,4.299605668182917,3.488512808968166,82.85324628780815,7.0,8.0,5.0,1
college,6.387916705381302,3.087948000669299,2.300491523682375,85.56749953246486,2.0,7.0,3.0,0
working_student,4.280158085707246,8.8205426157351,2.9444755401283285,,5.0,5.0,1.0,1
college,5.3968684029111085,6.214732812231906,6.034256285449479,,5.0,3.0,7.0,0
working_student,5.7825664836129445,5.176044866968509,4.8860956147818,66.893722055902,8.0,6.0,3.0,1
college,7.566493113945817,2.6892485583895605,1.3897769299825962,79.11305527337623,,7.0,7.0,0
working_student,6.090773794578705,6.239950468601872,2.353070926664752,71.27613763706817,1.0,8.0,9.0,0
working_student,4.100585147426388,4.207261382734256,0.4381173187371852,92.73558954360118,5.0,4.0,11.0,0
college,6.633389721890468,3.5295249015691175,5.50083497225549,76.82933305450541,6.0,9.0,12.0,0
college,8.769863246311594,8.776803631221066,2.221439553998102,82.98072515082572,6.0,7.0,7.0,1
college,7.034506788876497,6.711591770257588,5.4663981487119875,71.01726712071965,3.0,7.0,9.0,0
,7.5225282916259655,4.45490052128985,5.028888747524265,81.42163521148514,5.0,,1.0,0
college,5.503494583635198,7.1022195555488254,3.665350753710915,63.64918791899102,9.0,7.0,1.0,1
college,8.105357625737112,2.3614484638527182,2.165260601962811,84.76491442534015,3.0,7.0,7.0,0
school,7.749382040352365,5.35769817127049,3.388892394554594,95.0982190791002,6.0,3.0,1.0,1
college,6.567975874071457,,0.39892083135955647,98.88279318559714,1.0,3.0,1.0,0
college,8.182926060662714,7.862117457347291,4.055374294208073,76.6816806535503,4.0,8.0,12.0,0
college,4.411479806585013,3.8666090220422222,3.401607513364417,98.09085451220245,7.0,6.0,9.0,1
college,8.053714986307623,7.766768877074827,4.387970824964931,74.2295077818918,9.0,8.0,,1
college,9.070930917713905,,5.34253840710762,77.75203905580388,3.0,6.0,12.0,0
college,6.886137849260675,4.662738897074724,2.2774182468296376,53.37807948380959,3.0,2.0,5.0,0
school,7.000958588836007,3.54975253348933,6.440987071914429,94.40577739120619,5.0,1.0,10.0,1
college,,5.715014397305337,3.864036941760196,87.55690487603276,2.0,8.0,12.0,1
college,6.632045698799197,5.530673874875738,4.042291747262102,81.4129289631883,4.0,7.0,2.0,0
school,7.8381568989534465,5.747079144373232,1.8337794763823498,96.97982132026901,5.0,1.0,5.0,1
college,8.302737617193365,4.001870586369126,3.077075313055573,93.11051110523324,8.0,7.0,3.0,1
college,6.697847015730002,5.353325047310879,3.1214948638880067,95.66905340378847,10.0,5.0,6.0,1
college,5.03094824205466,1.8187973003401217,4.367985015113879,75.59183001716801,7.0,6.0,12.0,0
school,7.593141048489475,4.060859954737402,0.5504615991507231,98.3786199489448,10.0,7.0,7.0,1
college,7.344508995906735,3.4261100668033286,4.647734481971666,83.38309906240973,2.0,7.0,10.0,0
working_student,4.851679710378452,7.797493078497832,1.1152071265466477,92.20084003522962,5.0,7.0,1.0,0
school,6.793840742077666,5.1054482892616,1.0646419008373469,82.43333210543082,8.0,3.0,7.0,0
college,9.918081213555396,9.087370958935214,2.084056122597426,99.50579000478437,3.0,6.0,3.0,1
working_student,,11.191961107295471,5.938899009901126,64.48757299137455,8.0,1.0,8.0,1
college,6.142606851800156,4.1520198563822115,1.2602684190266977,80.13787813707397,6.0,6.0,,0
school,6.4884100753237295,3.8456411305534424,0.2738300025805511,75.61976320764066,7.0,8.0,10.0,0
school,6.951592222509516,2.2688691457363075,0.9919301520206876,97.0394779768198,4.0,9.0,9.0,1
working_student,5.99265222415008,5.6621615297247265,2.2720256128039096,78.2179605418818,2.0,6.0,8.0,0
school,,2.2029370795086614,3.0550218283223733,82.03591206368586,6.0,9.0,2.0,0
school,7.015505381803253,1.659197948413916,3.2082498143035783,75.51848221669276,4.0,2.0,1.0,0
school,9.064413943487791,0.9489973543104764,1.587663879498661,71.40785413407283,7.0,6.0,4.0,0
school,9.26928333161274,1.7341268020718217,3.814701233134632,89.47714770246739,5.0,9.0,1.0,0
school,7.240189116115941,1.4066545125894896,3.546275805979054,94.28284548196469,8.0,5.0,9.0,0
working_student,5.708197136391604,4.873495366072717,3.028323631984519,81.43529216470093,8.0,6.0,3.0,0
college,7.067263256597317,5.928807257999689,,97.11413103263811,6.0,5.0,2.0,1
school,7.857338193181842,3.5682392489415458,4.644981760904274,78.85633774172412,5.0,7.0,10.0,0
college,7.512799837671279,5.202875900785301,,88.54732796056994,8.0,7.0,6.0,1
college,7.912894898905709,4.757702679728543,1.7074238955668894,76.21574223093106,9.0,6.0,9.0,1
school,8.155236651003507,3.429935281403445,1.4117691398905063,69.51624853071709,2.0,,6.0,0
school,7.428423980119133,3.5403342657064494,4.524388389828367,81.86021927289787,9.0,4.0,12.0,1
college,,3.3922939567434702,5.683285586242728,97.78152900773453,4.0,4.0,,0
school,7.383991749430825,2.0614830119159047,1.4612500944689595,95.99175865212243,5.0,5.0,12.0,0
college,7.135024354560795,5.440841353894056,1.1934734908416575,66.93542774561084,10.0,9.0,1.0,1
school,7.61741110826424,1.5055924579524402,0.4094858861667805,64.54731906002783,7.0,4.0,12.0,0
college,7.439732991705989,1.933699615557504,1.55215779622956,76.23181723780674,8.0,10.0,2.0,0
school,5.820080299203171,3.2098148384534726,5.130593065726167,75.69514399553073,7.0,,8.0,1
working_student,4.66520256117429,6.343420645261464,6.355093331983541,64.24658051698985,6.0,10.0,7.0,0
college,4.660658256416716,5.427960641765376,4.745926550142045,95.3655759058392,4.0,7.0,9.0,0
school,7.627699051147625,1.5407431431055487,0.6493393450797684,78.72269820341032,3.0,1.0,2.0,0
school,7.345751027490362,0.6165952538606309,4.281970743522785,,5.0,7.0,4.0,0
college,4.591442797526434,5.949229690625456,7.922233858769218,86.9517377001235,5.0,8.0,10.0,0
school,7.6296146667733336,3.105334989099562,5.267202880294649,82.94250707071699,2.0,4.0,7.0,0
school,7.339118107626078,0.9135430166317389,1.3149043388827555,71.25437481916654,9.0,8.0,5.0,1
college,8.282658706712178,2.2408064218486596,3.799465469016098,93.82518167043143,7.0,7.0,6.0,1
college,7.159643540723642,5.351006051291037,1.877210073476144,88.53692130103835,5.0,8.0,10.0,0
working_student,5.758396888819148,9.864052542068395,2.9294480359044535,68.5874259716615,9.0,6.0,6.0,1
school,6.455610655450443,2.1953080773159668,2.657093502272728,99.18433032540511,7.0,7.0,12.0,0
college,6.724159854240771,5.987493367342176,1.7972247705961204,86.99154097624124,5.0,10.0,8.0,0
school,,5.974760849409146,0.4613158530152863,105.0,1.0,3.0,3.0,0
school,6.2159342104016035,2.843336697806466,5.603718064401073,78.07059990491817,2.0,9.0,9.0,0
